listing_id,listing_name
168615,"STAYINTOWN - Apartment in Berlin"
169603,"Luxury  & silent apartment near park and riverside"
169907,"Cozy Berlin nest with great access"
170582,"Room for one Women - Living Community"
170652,"2-room apartment. Mauerpark TOP!"
170750,"2-bedroom attic & rooftop terrace"
170974,"Very Sunny, cozy Room with Balcony :)"
171646,"Sagrada Familia Clot Atico"
171746,"Lovely oasis in heart of Prenzlberg"
172348,"IFEMA POOL ARTURO SORIA"
173153,"Beautiful flat 95m² in Berlin Mitte"
173718,"PLAZA CATALUÑA-RAMBLAS LARGE 23m2 ENSUITE BEDROOM"
174391,"BERLIN The most central!"
174547,"Berlin City Apartment 1with WiFi"
174560,"2 apartment in Berlin Center, WiFi"
174576,"Berlin City Suite 3 mit W-Lan "
174579,"Berlin City Studio 4 mit W-Lan"
175667,"calm, sunny and central apartment "
176342,"Landmark/Checkpoint Charlie/120m2/2BATH/3BR/NEW"
176355,"Landmark/Checkpoint Charlie/110m2/2BATH/2BR/new"
176396,"Quiet room direct to metro station"
176852,"Big & sunny apartment in Kreuzberg"
177486,"Comfy bright studio flat, 1-3 Pers."
177500,"Fuencarral studio A"
177523,"Fuencarral Studio A1"
177846,"HABITACIÓN EN MALASAÑA, CON BALCÓN Y MUCHA LUZ"
178347,"Design Apartment Berlin Neukölln"
179102,"registered, legal hughe penthouse for 1-2 families"
179488,"Room for rent in BCN/ non smoker"
179550,"Room for rent in BCN/ non smoker"
179619,"Affordable Barcelona for you!"
180293,"Ally`s Guest House Barcelona"
180440,"CITY STUDIO WEST@ Kurfürstendamm(monthly discount)"
181160,KINOMUSEUM
181824,"Double bedroom with terrace + pool"
183206,"Cosy Studio with balcony in Mitte"
183309,"CENTRAL REFURBISHED XIX CENTURY FLAT"
183346,"ROOM IN CENTRAL REFURBISH FLAT"
183353,"ROOM IN CENTRAL GENUINE CHARMINFLAT"
183918,"furnitured red room with balcony"
183988,"Luxury Ku'damm Studio +  Bikes 4you"
183996,"LargeTopFloor,2Terraces,Prenzl'Berg"
184373,"THE PASSION  ROOM ..."
184516,"lovely huge 30mq room with pvt bathroom"
185960,"bright and large furnished room"
186221,"La Sagrada Familia: tiny and simple room."
186540,"Fully equipped loft near Sagrada Familia"
186542,"Lovely and sunny double room in BCN"
186598," Double room and cozy"
186851,"CasaKaiser, 2 room apartment"
186908,"Appartement Dressler in Berlin"
186999,"House on Water"
187206,"cozy room"
187326,"Cozy Apartment with sun terrace"
188267,"Black Friday PROMOTIONS, ask!"
188565,"Lovely Sailingboat close to Berlin- Mitte"
188922,"Stay in Prenzlauerberg Berlin !"
189288,"Townhouse Altenescher Weg"
190348,"Apartment with large terrace"
190448,"Modernes Studioapartment Berlin"
191023,"2-Room-Apartment in Berlin-Mitte"
191303,"THE WHITE SUITE..."
191661,"PLAZA MAYOR LOFT the genuine Madrid"
192050,"Perfect for 5 + WLAN near (URL HIDDEN)"
192052,"studio apartment in mitte (N° 1)"
192103,"studio apartment in mitte (N° 2)"
192499,FILMSALON
193625,"perfect spot/place in Down Town :-)"
193923,"Single room in the real Barcelona"
194374,"Cottage in the city with garden"
194460,"Double Private room with breakfast near the beach"
194465,"Beautiful Loft-Studio with garden"
194546,"Central modern 2-room flat in Mitte"
194694,"a light from heaven & an old school"
195092,"Bonitas vistas de Barcelona"
195467,"Obere Etage im Haus."
196021,"Old-time-charm apartment with patio!"
196149,"Best location in Berlin-Mitte /WIFI"
196197,"THIS GREAT VIEW IN BRIGHT LATINA"
196285,"Studio-apt Kreuzberg: central/cozy"
197267,"Cozy Studio in Gracia Neighborhood"
197291,"App. w garden, firepl. a. whirlpool"
198584,"Oriental Style Room, Kudamm / Zoo"
198896,"A lovely luminous room..."
198958,"STUNNING sea view + pool Barcelona!"
199016,"Room in central top floor with 2 terraces"
199201,"Converted theatre, historic centre"
199422,"Modern apt near beach & city center"
199794,"Centric Double Room Private Bathroom - month  rent"
200125,"TOP apartment in art nouveau villa"
201033,"Shiny Room in Malasaña II/Center"
201224,"very charming central apartment...."
202066,"Shiny room in the center of Madrid"
203634,"Outstanding penthouse in Prenz Berg"
204570,"Lovely 110m2 home - BEST LOCATION !"
204609,"Bright room in 1870s-building, nice neighbourhood"
204617,"separates Mini-Appartement mit  Bad + WC"
205199,"Tafari Gran Via"
205296,"4* apartment in quiet south Berlin"
206122,"Amazing Loft in BCN Center (B0132)"
206167,"BRIGHT, COMFY AND CENTRAL"
206454,"Hot Spot Berlin-Mitte apartment!"
207740,"Schicke Garten-Maisonette in Kreuzberg"
208495,"CENTRAL VINTAGE-MODERN FLAT"
208684,"THE WAY WE LIVE with private bath"
209373,"Attic in the Heart of Madrid-WIFI "
209649,"Berlin Center – Charlottenburg Wilmersdorf"
209673,"Sweet Apartment in Gràcia district!"
209780,"The Mad B&B - Cool 3BD with Wifi"
210734,"VERY CENTRAL AND COSY"
211444,"Luxury room close to IFEMA/AIRPORT"
212348,"2 Zimmer mit Balkon in Friedrichshain"
213368,"Lovely room Barcelona up 2 people"
214000,"Immaculate WHITE LOFT, 2br CHUECA, 50mg fast WiFi"
214491,"enchanting room in the centre,"
214784,"Charming Room in a beautiful flat"
214855,"dnb-berlin - private room"
214970,"Cozy room in central flat Barcelona"
217674,"PENTH. PLAZA MAYOR ROOFTOP TERRACE"
218503,"Single room next to Bogatell Beach / 单间,旁边的海滩"
219303,"*** Malasaña B&B exterior***"
220445,"Apt. Near Charlottenburg Palace"
220808,"bright room in three-room apartment"
221015,"clean calm cosy central apartment"
222076,"Ayala Penthouse"
222784,"Queit-central-balcony-WiFi, lease - min 2 months"
223622,"1 bedroom in Berlin Friedrichshain"
224571,"RIGHT WHERE YOU  WANT TO BE+PC,WIFI"
225462,"Bright silent room in the center"
226925,"Appartement Dressler at lake Seddin"
228964,"super Wohnung MITTEndrin!"
229075,"Sun-drenched three-room-apartment"
229099,"Nice room near airport Berlin SXF"
229348,"Excl. Studio A Mitte/Hansaviertel"
229363,"Excl. Studio B Mitte/Hansaviertel"
229776,"Cosy room in Mitte / Rosenthaler Platz"
230611,"4 bedroom holiday house Berlin"
230824,"Bright & Roomy in Vintage Home"
231220,"1 Room Apartment, Charlottenburg"
231598,"Apartment Berlin"
232400,"DESIGNER DUPLEX SPA & TERRACE"
233083,"2-bed-loft-dwelling designers flat"
233453,"Pretty room in Neukölln/Sonnenallee"
233739,"Bright bedroom & private bathroom"
233770,"Holiday apartment in Berlin's Green"
234375,"ATTIC VIEWS SAGRADA FAMILIA"
234567,"Luxury Apartment in city center"
236509,"Berlin City Center, Great Vista"
236552,"Typical Berlin Alt-bau in Kreuzberg"
237038,"A lovely room in the Mitte - Berlin"
237359,"Sweet Home , romantic apartment"
237670,"Apartment Burde 2"
237895,"Lots of LIGHT & INCREDIBLE views!"
238275,"Baroqueapartment with loftcharacter"
238396,"Within the city, calm and leafy"
238569,"Nice bright flat near Mauerpark"
239139,"Central, Berlin Mitte, 4 Pers."
239143,"Cute & Centric Apartment In Born"
239314,"Comfortable Room in Vintage Home"
239492,"CozyRoom&Garden Priv.Bathroom AC"
239821,"APARTAMENT BCN MIRALL, in the best neighborhood"
240169,"Berlin, Neukölln, Room B"
240735,"I want Berlin!"
242335,"Barceloneta Beach Apartment - FOR SEASON"
242366,"Chic 2 room apartment  Berlin Mitte"
242794,"Elegant renovated apartment 72 m2"
242908,"Holiday Apartment in Berlin Wannsee with balcony"
242927,"Holiday Rental in Berlin Wannsee with small garden"
242978,"Exclusive one-bedroom apartment"
243057,"rooftop-apartement "Blueberry Hill"  Berlin center"
243063,"Holiday apartment in Berlin Mitte"
243081,"Living with style, apartment 2"
243238,"Blue Jewel in Green Borough"
243448,"TARRADELLAS_B for 10, near train/airport"
244425,"11th-Floor near KaDeWe!! -in Berlin"
244924,"sunny 2-room appartment in Berlin "
245744,"Apartment in central Berlin"
245809,"2-bedroom apartment Prenzlauer Berg"
245827,"2-bedroom apartment Gendarmenmarkt"
248375,"Culture and shopping"
249220,"1 room in an apartment in Berlin "
249419,"Studio to feel good Prenzlauerberg!"
250007,"Exotic holiday apartment in Berlin"
250016,"Excellent - 3 bedrooms, 2 bathrooms - Gothic"
250067,"Great 2bd apt perfect for a couple"
250121,"Cosy single room"
250138,"Nice double room"
250171,"Great Double bedroom"
250253,"Apartment: Luise in Berlin"
250376,"142 m² = 1530 ft² ♥LOFT♥ROOMS in Friedrichshain"
250684,"Lovely four bedroom"
250687,"Apollo Apartments 1"
250704,"Holiday Apartment with Garden"
250707,"Apartment: Friederike in Berlin"
250729,"Apartment: Grazer Gärten in Berlin"
250753,"Apartment: Großer Kurfürst"
251398,"Modern Room in a nice Environment"
251548,"Beautiful Apartment 14m2 Terrace in KREUZBERG"
252232,"Nice apartment with POOL BARCELONA"
252440,"Gorgeous duplex Azca area"
252664,"COZY ROOFTOP APARTM.| QUIET&CENTRAL"
252699,"*** modern-cozy-design apartment "
252933,"Room vibrant but cozy Schoeneberg"
252967,"Pension am Traveplatz Zimmer 1"
252993,"Pension am Traveplatz Zimmer 2"
253005,"Pension am Traveplatz Zimmer 3"
254576,"Chalet at Kurfürstendamm citycenter"
254762,"Cosy StudioFlat in trendy Kreuzberg"
254788,"Cosy Flat in Kreuzberg 36!"
255557,"Cosy studio FridayBerlin for you"
255722,"Renovated apt in an old building"
255778,"Beautiful apt. in a great location"
255829,"Idyllic located Apartment"
256004,"CASA ARCO CUCHILLEROS-BOTIN"
256058,"TOP Furnished Room in Graefekiez"
256628,"Cozy bedroom in a loft, el Raval."
256677,"Barcelona Center!The Gothic Area"
256842,"For Family 5p 20 min Puerta del Sol"
256982,"Centric spacious nostalgic Room"
257317,"Apartment in the heart of Berlin"
257373,"Sunny boutique studio Prenzl. Berg"
257658,"Awesome Location Mitte / P'berg"
257766,"100 qm Penthouse-Loft Berlin-Mitte"
259249,"2-bedroom flat right in the center."
259852,"Center - Double w A/C - FreeWiFi"
260073,"A STUDIO-FLAT IN CENTER-BARCELONA"
260095,"Nice Apartment in Berlin"
260656,"Quiet duplex apartment in Lavapiés"
260951,"Spectacular Loft "A" Ifema  Madrid"
261205,"Hip and lots of space in B- Fhain "
261452,"Wendt apartment, 1st floor, central"
261750,"THEVINTAGERENTALS Delux 5 bedrooms Pg de Gracia"
261834,"Sightseeing, relaxing and Shopping"
261878,"GREAT STUDIO! BEST REVIEWS! CENTRAL"
261937,"Nice apartment in center of Berlin"
263748,"LOFT "C" modern design loft IFEMA"
264054,"SINGULAR BUILDING, 5 FLOORS  250m2"
264125,"Sagrada Familia 5' Metro WIFI fibre"
264459,"Central, cosy and one-of-a-kind"
265354,"Nice apartment in Berlin"
265389,"Beautiful single room in Berlin"
265394,"Stylish double room in Berlin"
265400,"Lovely 2-bed room in Berlin"
265402,"Nice room for 3 persons"
265408,"Elegant 4-bed room in Berlin"
265416,"Colorful 6-bed-room in Berlin"
265433,"Spacious 6-bed-room in Berlin "
265444,"Nice and big 8-bed-room in Berlin"
265491,"Beach room amazing view in center"
265955,"Top Central Charming Relaxed Berlin"
266086,"Private Ferienwohnung in Berlin"
266181,"Single Room Apt in heart of  F'hain"
267399,"Attention to Every Little Detail."
267764,"Berlin Mitte luxury"
267816,"Luxury Yacht Barcelona Port Olimpic"
267951,"Modernes Apartment in Berlin P´berg"
268017,"Cosy apartment 3 bedrooms"
268022,"Charming 3 bedrooms apartment"
268275,"Madrid center with balconies"
268417,"Cozy Room near the Center. 2 línes underg.Eixample"
268910,"Southeast of Berlin - fantastic apartment"
268967,"Wendt-Apartment, 2nd floor, quiet"
268974,"Flat Familie Heucke"
269455,"rent a flat or room in kreuzberg"
269467,"Sunny and quiet Loft next to Sagrada Familia"
270050,"Double Room in El vaixell de paper"
270477,"QUIET GARDEN APT(child friendly)"
271340,"Central & Homelike Apartment"
271739,"X-Berg: central, quiet, bright, cosy and large"
271996,"GR Apartment near Sagrada Familia"
272279,"WELCOME HOME! EL RASTRO flea market"
272282,"Exquisito apartamento con espacios abiertos y luz"
273011,"Luxurious 2BR in prime location"
273076,"nice apartment in Samoastr., Berlin"
273106,"beautiful stylish apartment, Berlin"
273229,"Confortable and very well located"
273932,"Oriental Design apartment"
274501,"Modern Luxury 1BR apt Pg de Gràcia"
274623,"Modern, furnished, warm flat!"
274686,"Minimalist appartment in Kreuzberg"
274798,"Splendid and Spacious in Kreuzberg"
275326,"1BR on Pg de Gràcia - Gran Via "
275336,"Charming 3BR just off Gran Via"
275346,"Sunny terrace penthouse by Camp Nou Free Nespresso"
275350,"3BR/2Baths Apt. next to Liceu Theatre on La Rambla"
275472,"Luxus Flat Top Roof Berlin WELCOME"
275889,"La Rambla Zen 1BR apt in Center"
276044,"4th-Floor Apartment at Wittenbergplatz."
276324,"COMFORTABLE IN GRACE APARTMENT "
277653,"2-Rooms near KaDeWe !! -in Berlin"
278036,"Big Sunny Room - Paseo de Gracia"
279315,"Flat in Neukölln (Postmodern Cloister )"
279344,"Happy-haven in the heart of Berlin"
279439,"sociable apartment in Raval 3"
279504,"Kreuzberg, lively cosy Bergmannkiez"
280733,"Gran Via apartment I"
281152,"beautiful 3-room-apartment (75 m2)"
281224,"UNIQUE in Opera Royal Palace!!!"
281978,"Big Private Room - Paseo de Gracia"
281985,"Medium Sise Room - Paseo de Gracia"
282113,"Great Room at the Gran Via"
282195,"Winter Offer 40m2 Wifi. Centre O"
282196,"COZY FLAT, SANTA ANA,40m2,WIFI (I)"
282214,"Nice room close to Kurfürstendamm"
282679,"Charming Penthouse,two amazing terraces"
282715,"Cozy and Luxury penthouse, Madrid"
282773,"Top-Apartment Berlin Charlottenburg"
282786,"Apartment Berlin-Charlottenburg"
282797,"Schickes Apartment in Berlin-City"
283231,"FANTASTIC20m2TerraceVIEW-@800m BEACH/BORN/GOTIC"
283862,"HISTORICAL CENTER, SOL, DUPLEX"
284390,"Penthouse Central Well-lit"
286105,"Room at Gran Via Barcelona Spain"
287294,"Sailing Dreams Barcelona!"
287660,"Beatiful downtown room with balcony"
288034,"pb1 WITH TERRACE QUIET & HAPPY FLAT"
288484,"Cosy Studio livingspace with balcony, Maybachufer"
289555,"Casa Museo del Prado-Private room."
290035,"SINGLE ROOM HAPPY FLAT EXC LOCATION"
290410,"Quiet room in a 1 bedroom apt in Kurfurstendam"
290592,"Views SagradaFamilia + metro + WIFI"
292300,"Lux 2-level apt in hip Berlin Mitte"
292864,"Lounge Room –  Alex in 5 Min"
294520,"rented room in the center of madrid"
294529,"Centro de Madrid. Room 3"
295200,"Gaudi view´s Attic with private terrace"
295675,"room with own bathroom and separate entrance"
296331,"Big Apartment in Mayor Square!"
297017,"Luxury Prado Museum 4 pax"
297066,"3 rooms, 2 bathrooms in the touristic city centre"
297521,"light and nice room fully furnished"
297594,"Holiday apartment Trinimat Berlin"
298056,"3bedrooms in Kreuzberg, Anmeldung possible"
301773,"Nice Apartment at Prenzlauer Berg"
301887,"2nd-Floor near KaDeWe !! -in Berlin"
302179,"Cozy apartment in the city center"
303097,"Beautiful city apartment at park"
304904,"bedroom with your own bath"
305213,"PLATANEROS - BRIGHT CENTRAL APT"
305987,"Lovely Apartment in Berlin Prenzlauer Berg"
306041,"Lovely central room, Potsdamer Plz"
306312,"LOVINGLY RESTORED 100qm APARTMENT "
306502,"1,5 bedroom at Ku'damm close to IFA"
306829,"Cosy flat / Balcony / Centre Berlin"
307587,"Sunny apartment in Berlin Mitte"
308166,"ARTIST HOUSE IN DOWNTOWN, GAUDI, LIGHT SUN"
308421,"Bright Double Room in BerlinWedding"
309511,"Prenzlberg Designer Apt w. Balcony"
310333,"Central, cute & Art Apartment"
310678,"Precioso apartamento en Gran Via"
311703,"Elegant 4 Room Apartment with 2 Bathrooms"
313677,"Supercentric Apartment Quevedo"
313876,"quiet spacious sunny  2 room apt  w view 4.floor l"
315533,"Home sweet Home Berlin"
315682,"QUIET and SPACIOUS .  Heart of Malasaña.Madrid."
315769,"Sagrada Familia vintage apartment"
316327,"Spacious, Sunlit & Great Furniture"
316366,"Beautiful Apartment near Kudamm Ave"
316462,"Central Mitte:Galleries/Bars/Rest."
316547,"Our Asia Room For You"
317142,"Excellent place near the subway"
318826,"Wonderful apartment. JUST REMODELED"
318865,"A penthouse two terraces in Gracia"
319658,"Madridapto Central Wifi"
320028,"Nice room with ensuite bathroom"
320279,"STUDIO NEAR KASTANIENALLE"
320305,"Berlin Friedrichshain 1,5km to Alex"
320506,"The Loft Barcelona"
321295,"Beautiful 1-room apartment"
321308,"Schönes Apartment in Berlin"
321378,"TOP-FLOOR APARTM./ 2 roof terraces/ Kastanienallee"
322463,"Great value in Prenzlauer Berg, free parking"
322520,"Central studio w/ sunny GARDEN"
322548,"Terrace La Latina"
323243,"nettes Zweibettzimmer 1.3 (1. Etage)"
323255,"3 beds room No. 4 in Berlin"
323259,"3 beds room No. 2 in Berlin"
323260,"Apartment in Berlin for 1-3 persons"
323951,"Berlin Neukölln 2 rooms (bedroom+studio)"
324726,"lets go downtown barcelona"
325979,"A very nice and quiet appartement"
326566,"ruhiges Zimmer in Pankow/ Prenzlauer Berg"
326608,"RealCozyAltbau in outgoingKreuzberg"
327133,"Cozy Double Room - Paseo de Gracia"
327442,"Best place!"
327773,"Home is where Berlin is"
328255,"SUNNY & COSY FAMILY HOME (MAUERPARK) WiFi"
329648,"nice room with a balcony"
330248,"GREAT  DOUBLE ROOM WI FI CASANOVA"
330766,"Urquinaona Charming and Centric"
330957,"Central 3 bedroom beautiful APT"
333190,"Betwn Sagrada Fam. & the Beach! Sgl -Dbl Room B&B"
333974,"Winter froml 34€per.Centric.Wifi E"
334133,"Very centraly Apartment in Berlin 1"
334281,"Heart of Madrid - 2 bedroom flat"
335273,"Cool Design Apartment in Berlin"
335861,"MODERN LOFT NEXT TO THE BEACH"
336795,"Room in Madrid Center whit WIFI"
336834,"2 bedroom apartament in Chueca-Fuen"
336869,"Direct to Plaza Mayor!"
337209,"DISCOVER MADRID CENTRAL AREA WIFI"
337292,"Principe de Vergara. Homey Room"
